Clean Development Mechanism::SYN::CDM,F 895         
pre-COP ministerial meeting,F 2           
prepared draft decision,F 2           
preparing draft COP::SYN::preparing draft Conference of Parties,F 2           
pressing BAPA negotiations,F 2           
previous COP decisions::SYN::previous Conference of Parties decisions,F 2           
private sector engagement,F 2           
procedure for legal entities,F 2           
process toward appropriate action,F 2           
programme of work on agriculture,F 2           
progress on joint implementation,F 2           
projects in developing countries,F 2           
promoting clean technology,F 2           
proposal by Croatia on land,F 2           
proposals on financial issues,F 2           
proposals on key issues,F 2           
proposed adaptation fund,F 2           
proposed additional text,F 3           
proposed joint liaison,F 2           
proposed new fund,F 2           
proposed regional workshops,F 2           
proposed text paragraph-by-paragraph,F 2           
protocol or other instrument,F 2           
providing additional guidance,F 3           
providing technical advice,F 3           
public and private finance,F 2           
public finance for adaptation,F 2           
rapidly approaching deadline,F 2           
recategorizing developing countries,F 2           
reduction in global emissions,F 3           
reduction target for Annex,F 2           
reductions through domestic action,F 2           
reference to Convention Article,F 2           
reference to UNFCCC Article,F 2           
reference to developing countries,F 3           
references to mitigation and adaptation,F 3           
references to technology transfer,F 2           
regional and global levels,F 2           
regional and local levels,F 2           
regional and sub-regional workshops,F 2           
regional development banks,F 2           
regional emissions factors,F 3           
regional group representatives,F 2           
regional training workshops,F 3           
remaining bracketed text,F 3           
renewable energy potential,F 2           
renewable energy resources,F 2           
renewable energy technologies,F 3           
research and systematic observations,F 3           
resumed fourth session,F 2           
revised overview text,F 2           
rights of Mother Earth,F 2           
rigorous compliance rules,F 2           
rising sea levels,F 2           
risk assessment and management,F 2           
risk management communities,F 2           
role in combating climate,F 3           
scale CDM project::SYN::scale Clean Development Mechanism project,F 2           
scientific and technical information,F 2           
second IPCC assessment,F 3           
second bracketed option,F 2           
sections on capacity building,F 3           
sessions of SBI and SBSTA,F 3           
seventh synthesis report,F 2           
severe weather events,F 2           
share of global emissions,F 2           
share of proceeds for adaptation,F 2           
share of proceeds levy,F 2           
share of renewable energy,F 2           
single new agreement,F 2           
single new protocol,F 2           
social and economic consequences,F 2           
sound basis for negotiation,F 2           
space for developing countries,F 3           
special voluntary fund,F 2           
specific data and information,F 2           
specific policies and measures,F 2           
spin-off group on Chapter,F 2           
stabilization of CO2 emissions,F 2           
statement of political will,F 2           
statements from heads of states,F 2           
step by step approach,F 2           
submission of agenda items,F 2           
submissions by parties and observer,F 2           
submitting national communications,F 2           
subtraction of excess emissions,F 2           
successful and ambitious agreement,F 2           
support for capacity building,F 3           
sustainable consumption and production,F 2           
sustainable development benefits,F 2           
sustainable development goals,F 2           
sustainable development plans,F 2           
sustainable development strategies,F 3           
sustainable economic development,F 2           
sustainable forest management,F 2           
synthesis of national communications,F 3           
taking appropriate action,F 2           
targets for developing countries,F 3           
technical and editorial changes,F 2           
technical and financial assistance,F 3           
technical and technological assessments,F 2           
technology center and network,F 3           
technology information centers,F 2           
technology transfer activities,F 3           
technology transfer and adaptation,F 2           
technology transfer issues,F 3           
term developing countries,F 3           
testing and independent assessments,F 2           
text on Saturday morning,F 3           
text on additional guidance,F 2           
text on institutional arrangements,F 2           
